模型名称,版本,模型 ID（Model ID）,模型领域,"最大上下文长度
(token)","可配置最大输出长度
(token)",模型默认限流,"免费额度
（token）","定价
(元/千 token)"
doubao-1.5-pro-32k,250115,doubao-1-5-pro-32k-250115,通用任务,32k 2025年4月24日将扩展至128k,12k 2025年4月24日将扩展至16k 默认 4k,30000 RPM 5000000 TPM,"500,000",按 token 使用量付费（后付费）
doubao-1.5-pro-256k,250115,doubao-1-5-pro-256k-250115,通用任务,256k,12k 默认 4k,2000 RPM 400000 TPM,"500,000",按 token 使用量付费（后付费）
doubao-1.5-lite-32k,250115,doubao-1.5-lite-32k-250115 模型ID里可为“1.5”或“1-5”。,通用任务,32k,12k 默认 4k,30000 RPM 5000000 TPM,"500,000",定价详情
