模型名称,版本,模型 ID（Model ID）,模型领域,"最大上下文长度
(token)","可配置最大输出长度
(token)",模型默认限流,"免费额度
（token）","定价
(元/千 token)"
doubao-lite-4k,character-240828,doubao-lite-4k-character-240828,角色扮演,4k,4k,15000 RPM 1200000 TPM,"500,000",定价详情
doubao-lite-32k,240828,doubao-lite-32k-240828,通用任务,32k,4k,15000 RPM 1200000 TPM,"500,000",定价详情
doubao-lite-32k,character-250228,doubao-lite-32k-240628,通用任务,32k,4k,定价详情
doubao-lite-32k,character-241015,doubao-lite-32k-character-241015,角色扮演,32k,4k,定价详情
doubao-lite-128k,240828,240828,长文本处理,128k,4k,15000 RPM 1200000 TPM,"500,000",定价详情
