模型名称,版本,模型 ID（Model ID）,"最大上下文长度
(token)","最大输入长度
(token)","可配置最大输出长度
(token)","思维链最大输出长度
(token)",模型默认限流,"免费额度
（token）","定价
(元/千 token)"
deepseek-r1,250120,deepseek-r1-250120,96k,64k,16k 默认 4k,32k,30000 RPM 5000000 TPM,"500,000",计费单价
deepseek-r1-distill-qwen-32b,250120,deepseek-r1-distill-qwen-32b-250120,64k,32k,8k 默认 4k,32k,30000 RPM 5000000 TPM,"500,000",深度思考模型
deepseek-r1-distill-qwen-7b,250120,deepseek-r1-distill-qwen-7b-250120,64k,32k,8k 默认 4k,32k,30000 RPM 5000000 TPM,"500,000",深度思考模型
